first_year,mobility_window,n_researcher,n_mobile,r_n_mobile,prop_research,prop_mobile
2002,21,332396,35261,293,0.000881479,0.008309464
2000,21,296448,31039,259,0.000873678,0.008344341
2002,20,332396,35261,289,0.000869445,0.008196024
2003,19,360019,37860,311,0.000863843,0.008214474
2003,20,360019,37860,294,0.000816624,0.007765452
2006,18,483322,47148,378,0.000782087,0.008017307
2004,19,405023,40941,316,0.000780203,0.007718424
2005,19,435076,43559,339,0.000779174,0.007782548
2004,20,405023,40941,299,0.00073823,0.007303192
2000,22,296448,31039,218,0.000735373,0.007023422
2001,22,313686,32808,228,0.000726841,0.006949525
2001,21,313686,32808,222,0.000707714,0.006766642
2000,23,296448,31039,204,0.000688148,0.006572377
2002,22,332396,35261,218,0.000655844,0.006182468
2003,21,360019,37860,221,0.000613856,0.005837295
2001,23,313686,32808,168,0.000535567,0.005120702
2000,24,296448,31039,143,0.000482378,0.004607107
