region_origin,period_first_mobility,sum_mobile_origin_period,region_destination,n_mobile,prop_mobile
Latin America & Caribbean,2,5664,Latin America & Caribbean,542,0.09569209
Latin America & Caribbean,2,5664,CA,344,0.060734463
Latin America & Caribbean,2,5664,Oceania,123,0.021716102
Latin America & Caribbean,2,5664,Eastern Asia,88,0.015536723
Latin America & Caribbean,2,5664,Central Asia & Eastern Europe,36,0.006355932
Latin America & Caribbean,2,5664,Sub-Saharan Africa,29,0.005120056
Latin America & Caribbean,2,5664,Middle East & North Africa,22,0.003884181
Latin America & Caribbean,2,5664,South Asia,16,0.002824859
Latin America & Caribbean,2,5664,South-eastern Asia,3,0.000529661
Latin America & Caribbean,3,9771,US,3315,0.339269266
Latin America & Caribbean,3,9771,Western & Northern Europe,2516,0.257496674
Latin America & Caribbean,3,9771,Southern Europe,1531,0.156688159
Latin America & Caribbean,3,9771,Latin America & Caribbean,1143,0.116978815
Latin America & Caribbean,3,9771,CA,578,0.059154641
Latin America & Caribbean,3,9771,Oceania,287,0.029372633
Latin America & Caribbean,3,9771,Eastern Asia,150,0.015351551
Latin America & Caribbean,3,9771,Central Asia & Eastern Europe,84,0.008596868
Latin America & Caribbean,3,9771,Sub-Saharan Africa,67,0.006857026
Latin America & Caribbean,3,9771,Middle East & North Africa,44,0.004503121
Latin America & Caribbean,3,9771,South Asia,37,0.003786716
Latin America & Caribbean,3,9771,South-eastern Asia,19,0.00194453
Latin America & Caribbean,4,17108,US,5108,0.298573767
Latin America & Caribbean,4,17108,Western & Northern Europe,4463,0.260872107
Latin America & Caribbean,4,17108,Latin America & Caribbean,2931,0.171323357
Latin America & Caribbean,4,17108,Southern Europe,2303,0.134615385
Latin America & Caribbean,4,17108,CA,988,0.05775076
Latin America & Caribbean,4,17108,Oceania,515,0.030102876
Latin America & Caribbean,4,17108,Eastern Asia,248,0.014496142
Latin America & Caribbean,4,17108,Central Asia & Eastern Europe,165,0.009644611
Latin America & Caribbean,4,17108,Sub-Saharan Africa,118,0.006897358
Latin America & Caribbean,4,17108,Middle East & North Africa,110,0.00642974
Latin America & Caribbean,4,17108,South Asia,91,0.005319149
Latin America & Caribbean,4,17108,South-eastern Asia,68,0.003974749
Latin America & Caribbean,5,25792,US,7106,0.275511787
Latin America & Caribbean,5,25792,Western & Northern Europe,6369,0.246937035
Latin America & Caribbean,5,25792,Latin America & Caribbean,4677,0.181335298
Latin America & Caribbean,5,25792,Southern Europe,3813,0.147836538
Latin America & Caribbean,5,25792,CA,1608,0.062344913
Latin America & Caribbean,5,25792,Oceania,608,0.023573201
Latin America & Caribbean,5,25792,Central Asia & Eastern Europe,367,0.014229218
Latin America & Caribbean,5,25792,Eastern Asia,344,0.013337469
Latin America & Caribbean,5,25792,South Asia,294,0.011398883
Latin America & Caribbean,5,25792,Middle East & North Africa,270,0.010468362
Latin America & Caribbean,5,25792,Sub-Saharan Africa,228,0.00883995
Latin America & Caribbean,5,25792,South-eastern Asia,108,0.004187345
Middle East & North Africa,1,887,US,367,0.413754228
