region_origin,period_first_mobility,region_destination,n_outgoing,n_incoming,gain_index_stand
Oceania,2,Sub-Saharan Africa,39,63,0.235294118
Oceania,3,Sub-Saharan Africa,76,131,0.265700483
Oceania,4,Sub-Saharan Africa,130,339,0.445628998
Oceania,5,Sub-Saharan Africa,146,460,0.518151815
Oceania,1,US,339,208,-0.239488117
Oceania,2,US,953,882,-0.038692098
Oceania,3,US,1369,1532,0.056187522
Oceania,4,US,1802,1591,-0.062186855
Oceania,5,US,1544,1310,-0.081990189
Oceania,1,Western & Northern Europe,396,441,0.053763441
Oceania,2,Western & Northern Europe,1561,2046,0.134460771
Oceania,3,Western & Northern Europe,2286,3173,0.162483971
Oceania,4,Western & Northern Europe,3079,3457,0.057833537
Oceania,5,Western & Northern Europe,2877,2686,-0.034333992
South Asia,1,CA,34,14,-0.416666667
South Asia,2,CA,273,80,-0.54674221
South Asia,3,CA,585,192,-0.505791506
South Asia,4,CA,1005,286,-0.55693261
South Asia,5,CA,1730,293,-0.710331191
South Asia,1,Central Asia & Eastern Europe,5,5,0
South Asia,2,Central Asia & Eastern Europe,24,41,0.261538462
South Asia,3,Central Asia & Eastern Europe,121,63,-0.315217391
South Asia,4,Central Asia & Eastern Europe,376,110,-0.547325103
South Asia,5,Central Asia & Eastern Europe,1029,449,-0.392422192
South Asia,1,Eastern Asia,131,84,-0.218604651
South Asia,2,Eastern Asia,813,387,-0.355
South Asia,3,Eastern Asia,1634,975,-0.252587198
South Asia,4,Eastern Asia,3881,1768,-0.374048504
South Asia,5,Eastern Asia,5281,2581,-0.343424065
South Asia,1,Latin America & Caribbean,2,8,0.6
South Asia,2,Latin America & Caribbean,38,16,-0.407407407
South Asia,3,Latin America & Caribbean,105,37,-0.478873239
South Asia,4,Latin America & Caribbean,258,91,-0.478510029
South Asia,5,Latin America & Caribbean,321,294,-0.043902439
South Asia,1,Middle East & North Africa,36,10,-0.565217391
South Asia,2,Middle East & North Africa,181,51,-0.560344828
South Asia,3,Middle East & North Africa,792,122,-0.733041575
South Asia,4,Middle East & North Africa,1682,340,-0.663699308
South Asia,5,Middle East & North Africa,2693,765,-0.557547715
South Asia,1,Oceania,25,12,-0.351351351
South Asia,2,Oceania,240,75,-0.523809524
South Asia,3,Oceania,651,204,-0.522807018
South Asia,4,Oceania,1274,404,-0.518474374
South Asia,5,Oceania,1923,496,-0.589913187
South Asia,1,South Asia,25,25,0
South Asia,2,South Asia,92,92,0
South Asia,3,South Asia,238,238,0
South Asia,4,South Asia,515,515,0
South Asia,5,South Asia,963,963,0
South Asia,1,South-eastern Asia,25,12,-0.351351351
South Asia,2,South-eastern Asia,202,90,-0.383561644
South Asia,3,South-eastern Asia,745,299,-0.427203065
South Asia,4,South-eastern Asia,1240,928,-0.143911439
South Asia,5,South-eastern Asia,1775,1775,0
South Asia,1,Southern Europe,19,5,-0.583333333
South Asia,2,Southern Europe,153,60,-0.436619718
South Asia,3,Southern Europe,361,115,-0.516806723
South Asia,4,Southern Europe,451,267,-0.256267409
South Asia,5,Southern Europe,1021,268,-0.584173778
South Asia,1,Sub-Saharan Africa,8,3,-0.454545455
South Asia,2,Sub-Saharan Africa,57,23,-0.425
South Asia,3,Sub-Saharan Africa,212,64,-0.536231884
South Asia,4,Sub-Saharan Africa,518,160,-0.528023599
South Asia,5,Sub-Saharan Africa,696,449,-0.215720524
South Asia,1,US,462,161,-0.483146067
South Asia,2,US,2552,840,-0.504716981
South Asia,3,US,4408,1972,-0.381818182
South Asia,4,US,7650,2648,-0.485725384
South Asia,5,US,14144,2664,-0.683008091
South Asia,1,Western & Northern Europe,225,86,-0.446945338
South Asia,2,Western & Northern Europe,1253,508,-0.423055082
South Asia,3,Western & Northern Europe,2538,1351,-0.305219851
South Asia,4,Western & Northern Europe,4035,1913,-0.356758574
South Asia,5,Western & Northern Europe,7746,1611,-0.655658865
South-eastern Asia,1,CA,31,10,-0.512195122
South-eastern Asia,2,CA,116,84,-0.16
South-eastern Asia,3,CA,171,128,-0.143812709
South-eastern Asia,4,CA,252,176,-0.177570093
South-eastern Asia,5,CA,341,133,-0.438818565
